,best_new_music,author,author_type,year,genre_electronic,genre_experimental,genre_folk,genre_global,genre_jazz,genre_metal,genre_pop,genre_rap,genre_rock,genre_country,genre_r&b,words_count,polarity
0,0,nate patrin,contributor,1998.0,1,0,0,0,0,0,0,0,0,0,0,1456,0.0972810319140594
1,0,zoe camp,contributor,2016.0,0,0,0,0,0,1,0,0,0,0,0,419,0.04163961038961039
2,0,david glickman,contributor,2016.0,0,0,0,0,0,0,0,0,1,0,0,597,0.12330413297394427
3,0,david glickman,contributor,2016.0,0,0,0,0,0,0,0,0,1,0,0,597,0.12330413297394427
4,1,jenn pelly,associate reviews editor,2016.0,0,0,0,0,0,0,0,0,1,0,0,1240,0.16157608765503503
5,1,jenn pelly,associate reviews editor,2016.0,0,0,0,0,0,0,0,0,1,0,0,1240,0.16157608765503503
6,1,jenn pelly,associate reviews editor,2016.0,0,0,0,0,0,0,0,0,1,0,0,1240,0.16157608765503503
7,1,jenn pelly,associate reviews editor,2016.0,0,0,0,0,0,0,0,0,1,0,0,1240,0.16157608765503503
8,0,kevin lozano,tracks coordinator,2016.0,1,0,0,0,0,0,0,0,0,0,0,528,0.19372885256505948
10,0,katherine st. asaph,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,614,0.1752029220779221
11,0,andy beta,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,429,0.15706349206349202
12,0,andy beta,contributor,2017.0,0,1,0,0,0,0,0,0,0,0,0,703,0.07987135275270867
13,0,ian cohen,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,1020,0.06632148553201185
14,0,marc masters,contributor,2016.0,0,1,0,0,0,0,0,0,0,0,0,514,0.13924042007375337
15,1,sheldon pearce,associate staff writer,2016.0,0,0,0,0,0,0,0,1,0,0,0,823,0.10067221510883481
16,0,thea ballard,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,583,0.09866385718658445
17,0,marcus j. moore,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,572,0.0793273645546373
18,0,marcus j. moore,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,572,0.0793273645546373
19,0,dean van nguyen,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,566,0.07590521618299399
20,0,dean van nguyen,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,566,0.07590521618299399
22,0,philip sherburne,contributing editor,2016.0,0,1,0,0,0,0,0,0,0,0,0,747,0.07137651534972964
23,0,sheldon pearce,associate staff writer,2016.0,0,0,0,0,0,0,0,1,0,0,0,912,0.16791838652303775
24,0,sheldon pearce,associate staff writer,2016.0,0,0,0,0,0,0,0,1,0,0,0,912,0.16791838652303775
25,0,sheldon pearce,associate staff writer,2016.0,0,0,0,0,0,0,1,0,0,0,1,912,0.16791838652303775
26,0,sheldon pearce,associate staff writer,2016.0,0,0,0,0,0,0,1,0,0,0,1,912,0.16791838652303775
27,0,benjamin scheim,contributor,2016.0,0,1,0,0,0,0,0,0,0,0,0,699,0.16500072150072154
28,0,rebecca haithcoat,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,596,0.2356591521685861
29,0,rebecca haithcoat,contributor,2016.0,0,0,0,0,0,0,1,0,0,0,1,596,0.2356591521685861
30,0,sam sodomsky,associate staff writer,2016.0,0,0,0,0,0,1,0,0,0,0,0,534,0.1230131503716409
31,0,benjamin scheim,contributor,2016.0,0,0,0,0,0,0,0,0,1,0,0,762,0.031968774119936906
32,0,seth colter walls,contributor,2016.0,0,1,0,0,0,0,0,0,0,0,0,856,0.15645912910618792
33,0,benjamin scheim,contributor,2016.0,0,0,0,0,0,0,0,0,1,0,0,799,0.06834304012139061
34,0,benjamin scheim,contributor,2016.0,0,1,0,0,0,0,0,0,0,0,0,799,0.06834304012139061
35,0,brian howe,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,694,0.0196348733233979
36,0,marc hogan,senior staff writer,2016.0,0,0,1,0,0,0,0,0,0,1,0,824,0.13650507172565993
37,0,quinn moreland,assistant editor,2016.0,0,0,0,0,0,0,0,0,1,0,0,504,0.06864617940199337
38,0,andy beta,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,472,0.1080808080808081
39,1,seth colter-walls,contributor,2016.0,0,0,0,0,1,0,0,0,0,0,0,697,0.12837636569779423
40,0,sheldon pearce,associate staff writer,2016.0,0,0,0,0,0,0,0,1,0,0,0,840,0.07422724388184912
41,0,savy reyes-kulkarni,contributor,1996.0,0,0,0,0,0,1,0,0,0,0,0,1412,0.12565202113903412
42,0,savy reyes-kulkarni,contributor,2016.0,0,0,0,0,0,1,0,0,0,0,0,1412,0.12565202113903412
43,0,renato pagnani,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,592,0.09909221525600836
44,0,kevin lozano,tracks coordinator,2016.0,0,1,0,0,0,0,0,0,0,0,0,685,0.02418430335097002
45,0,matthew strauss,associate editor,2016.0,0,0,0,0,0,0,0,0,1,0,0,783,0.09557746779969
46,0,matthew strauss,associate editor,2016.0,0,0,0,0,0,0,0,0,1,0,0,783,0.09557746779969
47,0,matthew strauss,associate editor,2016.0,0,0,0,0,0,0,0,1,0,0,0,783,0.09557746779969
48,0,matthew strauss,associate editor,2016.0,0,0,0,0,0,0,0,1,0,0,0,783,0.09557746779969
49,0,sheldon pearce,associate staff writer,2016.0,0,0,0,0,0,0,0,1,0,0,0,730,0.07052238805970151
50,0,matthew strauss,associate editor,2016.0,0,0,0,0,0,0,0,1,0,0,0,900,0.13250669433659126
51,0,philip sherburne,contributing editor,2016.0,0,0,0,0,1,0,0,0,0,0,0,752,0.11462343873058156
52,0,andy beta,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,646,0.12159858463049952
53,0,andy beta,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,646,0.12159858463049952
55,0,david turner,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,605,-0.0039876708259061165
56,0,david turner,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,605,-0.0039876708259061165
58,0,philip sherburne,contributing editor,2016.0,1,0,0,0,0,0,0,0,0,0,0,868,0.20737060797301757
59,0,vanessa okoth-obbo,contributor,2016.0,0,0,0,0,0,0,1,0,0,0,1,489,0.16291486291486293
60,0,benjamin scheim,contributor,2016.0,0,1,0,0,0,0,0,0,0,0,0,504,0.10812932278449518
61,0,seth colter walls,contributor,2016.0,0,1,0,0,0,0,0,0,0,0,0,425,0.092754329004329
62,0,matthew ramirez,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,696,0.12561981623028132
63,0,jesse jarnow,contributor,1966.0,0,0,0,0,0,0,0,0,1,0,0,1892,0.09156982385430663
64,0,jesse jarnow,contributor,2016.0,0,0,0,0,0,0,0,0,1,0,0,1892,0.09156982385430663
65,0,andrew gaerig,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,414,0.09353002070393375
66,0,andrew gaerig,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,414,0.09353002070393375
67,0,louis pattison,contributor,2016.0,1,0,0,0,0,0,0,0,0,0,0,417,0.05228981544771017
68,0,paul a. thompson,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,1008,0.08634461854570549
69,0,paul a. thompson,contributor,2016.0,0,0,0,0,0,0,0,1,0,0,0,1008,0.08634461854570549
70,1,jesse jarnow,contributor,2016.0,0,0,0,0,0,0,0,0,1,0,0,1319,0.13743974701421507
